Karambit | Frostbite 139.000 Dorado  https://bloxstrike.net/items/bloxstrike-live/79761341183165.png
Karambit | Noir 100.000 Dorado https://bloxstrike.net/items/bloxstrike-live/131209897519753.png
Flip | Aurora 71.100 Dorado https://bloxstrike.net/items/bloxstrike-live/128576804864738.png
Flip | Frostbite 59.700 Dorado https://bloxstrike.net/items/bloxstrike-live/138793965073702.png
Gut | Noir 28.400 Dorado https://bloxstrike.net/items/bloxstrike-live/98358735156670.png
Gut | Aurora 24.700 Dorado https://bloxstrike.net/items/bloxstrike-live/121640032706759.png
Gut | Frostbite 21.800 Dorado https://bloxstrike.net/items/bloxstrike-live/104711840445578.png
Stiletto | Safari 20.900 Dorado https://bloxstrike.net/items/bloxstrike-live/128389123015241.png
Karambit | Fade 20.300 Dorado https://bloxstrike.net/items/bloxstrike-live/74368007102644.png
Karambit | Tiger Stripes 18.000 Dorado https://bloxstrike.net/items/bloxstrike-live/95211024718206.png
Karambit | Aurora 15.000 Dorado https://bloxstrike.net/items/bloxstrike-live/138413413100500.png
Butterfly | Fade 14.300 Dorado https://bloxstrike.net/items/bloxstrike-live/106697835426931.png
Butterfly | Tiger Stripes 14.100 Dorado https://bloxstrike.net/items/bloxstrike-live/82145293216243.png
Bayonet | Fade 12.300 Dorado https://bloxstrike.net/items/bloxstrike-live/80595388025959.png
Sports Gloves | Imperial 12.000 Dorado https://bloxstrike.net/items/bloxstrike-live/75665163318076.png
Bayonet | Tiger Stripes 11.100 Dorado https://bloxstrike.net/items/bloxstrike-live/70463036776846.png
Sports Gloves | Malibu 10.700 Dorado https://bloxstrike.net/items/bloxstrike-live/101305569158677.png
Stiletto | Violet 10.500 Dorado https://bloxstrike.net/items/bloxstrike-live/87519753219275.png
Karambit | Scarlet 10.500 Dorado https://bloxstrike.net/items/bloxstrike-live/93160113970136.png
Bayonet | Scarlet 9.880 Dorado https://bloxstrike.net/items/bloxstrike-live/73019270186108.png
Skeleton | Fade 9.610 Dorado https://bloxstrike.net/items/bloxstrike-live/116910956316790.png
Karambit | Vanilla 9.140 Dorado https://bloxstrike.net/items/bloxstrike-live/102495712966985.png
Butterfly | Scarlet 9.000 Dorado https://bloxstrike.net/items/bloxstrike-live/125882948964404.png
Operator Gloves | Fade 8.800 Dorado https://bloxstrike.net/items/bloxstrike-live/110019397326515.png
Karambit | Damascus 7.940 Dorado  https://bloxstrike.net/items/bloxstrike-live/91543369886040.png
Butterfly | Damascus 7.300 Dorado  https://bloxstrike.net/items/bloxstrike-live/109109777074306.png
Sports Gloves | Tidal 6.990 Dorado https://bloxstrike.net/items/bloxstrike-live/79809682082551.png
Karambit | Rusted 6.880 Dorado https://bloxstrike.net/items/bloxstrike-live/82199230769656.png
Karambit | Blackwidow 6.770 Dorado https://bloxstrike.net/items/bloxstrike-live/136778199973384.png
Stiletto | Tiger Stripes 6.590 Dorado https://bloxstrike.net/items/bloxstrike-live/73060066712564.png
Flip | Fade 6.460 Dorado https://bloxstrike.net/items/bloxstrike-live/122890588562444.png
Operator Gloves | Black Widow 6.220 Dorado https://bloxstrike.net/items/bloxstrike-live/84048948308515.png
Flip | Tiger Stripes 6.110 Dorado https://bloxstrike.net/items/bloxstrike-live/122568248922963.png
Skeleton | Scarlet 6.090 Dorado  https://bloxstrike.net/items/bloxstrike-live/82177594283467.png
Sports Gloves | Labyrinth 6.080 Dorado https://bloxstrike.net/items/bloxstrike-live/109212398466944.png
Karambit | Violet 5.870 Dorado  https://bloxstrike.net/items/bloxstrike-live/139129013572542.png
Operator Gloves | Hellwire 5.610 Dorado https://bloxstrike.net/items/bloxstrike-live/79263996275288.png
Sports Gloves | Racer 5.420 Dorado https://bloxstrike.net/items/bloxstrike-live/114643071471160.png
AWP | Beta 5.130 Dorado  https://bloxstrike.net/items/bloxstrike-live/124416502090313.png
Butterfly | Vanilla 5.120 Dorado https://bloxstrike.net/items/bloxstrike-live/78588429271427.png
Stiletto | Blackwidow 5.000 Dorado https://bloxstrike.net/items/bloxstrike-live/129449718166052.png
Butterfly | Rusted 4.930 Dorado https://bloxstrike.net/items/bloxstrike-live/130942303823779.png
Bayonet | Damascus 4.760 Dorado https://bloxstrike.net/items/bloxstrike-live/115080076019472.png
Flip | Scarlet 4.760 Dorado https://bloxstrike.net/items/bloxstrike-live/135381813993407.png
Karambit | Doodle 4.590 Dorado https://bloxstrike.net/items/bloxstrike-live/120730938583742.png
Butterfly | Doodle 4.530 Dorado https://bloxstrike.net/items/bloxstrike-live/102865152153231.png
Karambit | Whiteout 4500 Dorado https://bloxstrike.net/items/bloxstrike-live/114301226895128.png
Karambit | Naval 4.490 Dorado https://bloxstrike.net/items/bloxstrike-live/76387784625729.png
Karambit | Midnight 4.460 Dorado https://bloxstrike.net/items/bloxstrike-live/84343241127839.png
Bayonet | Vanilla 4.300 Dorado https://bloxstrike.net/items/bloxstrike-live/124824778019343.png
Karambit | Woodland 4.240 Dorado https://bloxstrike.net/items/bloxstrike-live/110826146970814.png
Driver Gloves | Snow Leopard 4.210 Dorado https://bloxstrike.net/items/bloxstrike-live/133957542310311.png
Karambit | Safari 4.180 Dorado https://bloxstrike.net/items/bloxstrike-live/93690634411905.png
Operator Gloves | Emerald Widow 4.090 Dorado https://bloxstrike.net/items/bloxstrike-live/93323651655129.png
Flip | Damascus 4.050 Dorado https://bloxstrike.net/items/bloxstrike-live/75547079494434.png
Skeleton | Vanilla 4.040 Dorado https://bloxstrike.net/items/bloxstrike-live/87507678545290.png
Gut | Fade 3.950 Dorado https://bloxstrike.net/items/bloxstrike-live/95275570528896.png
Bayonet | Rusted 3.930 Dorado https://bloxstrike.net/items/bloxstrike-live/139932715629570.png
Sports Gloves | Freshmint 3.930 Dorado https://bloxstrike.net/items/bloxstrike-live/127608450845755.png
Bayonet | Blackwidow 3.900 Dorado https://bloxstrike.net/items/bloxstrike-live/90806456943659.png
Sports Gloves | Bumblebee 3.760 Dorado https://bloxstrike.net/items/bloxstrike-live/116732891350636.png
Hand Wraps | Bandage 3.750 Dorado https://bloxstrike.net/items/bloxstrike-live/102250051983579.png
Package | M4A1-S | Anodized Red 3.730 Rojo https://bloxstrike.net/items/bloxstrike-live/96193690360774.png
Sports Gloves | Blackout 3.670 Dorado https://bloxstrike.net/items/bloxstrike-live/131525089627267.png
Bayonet | Violet 3.670 Dorado https://bloxstrike.net/items/bloxstrike-live/129718786201649.png
Hand Wraps | Aztec 3.600 Dorado https://bloxstrike.net/items/bloxstrike-live/90350865435356.png
Bayonet | Naval 3.470 Dorado https://bloxstrike.net/items/bloxstrike-live/95969897826010.png
Operator Gloves | Reinforced 3.460 Dorado https://bloxstrike.net/items/bloxstrike-live/123073579676420.png
Hand Wraps | Meander 3.400 Dorado  https://bloxstrike.net/items/bloxstrike-live/78613308215975.png
Gut | Tiger Stripes 3.350 Dorado  https://bloxstrike.net/items/bloxstrike-live/84654052342165.png
Bayonet | Whiteout 3.260 Dorado  https://bloxstrike.net/items/bloxstrike-live/107157746622142.png
Operator Gloves | Smoke 3.250 Dorado https://bloxstrike.net/items/bloxstrike-live/108536789406170.png
Butterfly | Violet 3.240 Dorado https://bloxstrike.net/items/bloxstrike-live/114857309297352.png
Operator Gloves | Bumblebee 3.230 Dorado https://bloxstrike.net/items/bloxstrike-live/82742140649629.png
Bayonet | Doodle 3.170 Dorado https://bloxstrike.net/items/bloxstrike-live/125715390726858.png
Stiletto | Vanilla 3.170 Dorado https://bloxstrike.net/items/bloxstrike-live/99687107676025.png
Butterfly | Naval 3.150 Dorado https://bloxstrike.net/items/bloxstrike-live/111900993940951.png
Butterfly | Woodland 3.130 Dorado https://bloxstrike.net/items/bloxstrike-live/78162582750708.png
Skeleton | Blackwidow 3.020 Dorado https://bloxstrike.net/items/bloxstrike-live/122466107044644.png
Driver Gloves | Cobra 3.010 Dorado https://bloxstrike.net/items/bloxstrike-live/98732847945986.png
